Date,Open,High,Low,Close,Volume
2016-11-10,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-11,0.0001,0.0001,0.0001,0.0001,1250000.0
2016-11-14,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-15,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-16,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-17,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-18,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-21,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-22,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-23,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-24,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-25,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-28,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-29,0.0001,0.0001,0.0001,0.0001,0.0
2016-11-30,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-01,0.0001,0.0001,0.0001,0.0001,750000.0
2016-12-02,0.0001,0.0001,0.0001,0.0001,500000.0
2016-12-05,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-06,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-07,0.0001,0.0001,0.0001,0.0001,100000.0
2016-12-08,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-09,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-12,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-13,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-14,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-15,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-16,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-19,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-20,0.0001,0.0001,0.0001,0.0001,100000.0
2016-12-21,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-22,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-23,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-26,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-27,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-28,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-29,0.0001,0.0001,0.0001,0.0001,0.0
2016-12-30,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-02,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-04,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-05,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-09,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-11,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-12,0.0001,0.0001,0.0001,0.0001,300000.0
2017-01-13,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-17,0.0001,0.0001,0.0001,0.0001,100000.0
2017-01-18,0.0001,0.0001,0.0001,0.0001,1280000.0
2017-01-19,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-20,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-23,0.0001,0.0001,0.0001,0.0001,1100000.0
2017-01-24,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-25,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-26,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-27,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-30,0.0001,0.0001,0.0001,0.0001,0.0
2017-01-31,0.0001,0.0001,0.0001,0.0001,900000.0
2017-02-01,0.0001,0.0001,0.0001,0.0001,35016455.0
2017-02-02,0.0001,0.0001,0.0001,0.0001,5943000.0
2017-02-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-07,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-08,0.0001,0.0001,0.0001,0.0001,3700000.0
2017-02-09,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-13,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-14,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-15,0.0001,0.0001,0.0001,0.0001,500000.0
2017-02-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-17,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-20,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-21,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-22,0.0001,0.0001,0.0001,0.0001,500000.0
2017-02-23,0.0001,0.0002,0.0001,0.0002,125642928.0
2017-02-24,0.0001,0.0001,0.0001,0.0001,121168231.0
2017-02-27,0.0001,0.0001,0.0001,0.0001,0.0
2017-02-28,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-01,0.0001,0.0001,0.0001,0.0001,20000.0
2017-03-02,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-07,0.0001,0.0001,0.0001,0.0001,500000.0
2017-03-08,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-09,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-13,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-14,0.0001,0.0001,0.0001,0.0001,1000000.0
2017-03-15,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-17,0.0001,0.0001,0.0001,0.0001,50510003.0
2017-03-20,0.0001,0.0002,0.0001,0.0001,11687046.0
2017-03-21,0.0001,0.0002,0.0001,0.0001,0.0
2017-03-22,0.0001,0.0002,0.0001,0.0001,0.0
2017-03-23,0.0001,0.0002,0.0001,0.0001,0.0
2017-03-24,0.0001,0.0001,0.0001,0.0001,50000.0
2017-03-27,0.0001,0.0001,0.0001,0.0001,0.0
2017-03-28,0.0001,0.001,0.0001,0.001,501250.0
2017-03-29,0.0001,0.0001,0.0001,0.0001,34804000.0
2017-03-30,0.0001,0.0001,0.0001,0.0001,1500000.0
2017-03-31,0.0001,0.0001,0.0001,0.0001,510000.0
2017-04-03,0.0001,0.0001,0.0001,0.0001,4500000.0
2017-04-04,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-05,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-07,0.0001,0.0001,0.0001,0.0001,10000.0
2017-04-10,0.0001,0.0001,0.0001,0.0001,10000.0
2017-04-11,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-12,0.0001,0.0001,0.0001,0.0001,2500000.0
2017-04-13,0.0001,0.0001,0.0001,0.0001,600000.0
2017-04-14,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-17,0.0001,0.0001,0.0001,0.0001,738243.0
2017-04-18,0.0001,0.0001,0.0001,0.0001,1500000.0
2017-04-19,0.0001,0.0001,0.0001,0.0001,1003001.0
2017-04-20,0.0001,0.0001,0.0001,0.0001,162954.0
2017-04-21,0.0001,0.0001,0.0001,0.0001,500000.0
2017-04-24,0.0001,0.0001,0.0001,0.0001,200000.0
2017-04-25,0.0001,0.0001,0.0001,0.0001,0.0
2017-04-26,0.0001,0.0001,0.0001,0.0001,500000.0
2017-04-27,0.0001,0.0001,0.0001,0.0001,2500000.0
2017-04-28,0.0001,0.0001,0.0001,0.0001,500000.0
2017-05-01,0.0001,0.0001,0.0001,0.0001,350.0
2017-05-02,0.0001,0.0001,0.0001,0.0001,500000.0
2017-05-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-04,0.0001,0.0001,0.0001,0.0001,1000.0
2017-05-05,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-08,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-09,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-11,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-12,0.0,0.0001,0.0,0.0001,20000.0
2017-05-15,0.0001,0.0001,0.0001,0.0001,1000000.0
2017-05-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-17,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-18,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-19,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-22,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-23,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-24,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-25,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-26,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-29,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-30,0.0001,0.0001,0.0001,0.0001,0.0
2017-05-31,0.0001,0.0001,0.0001,0.0001,1000000.0
2017-06-01,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-02,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-05,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-07,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-08,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-09,0.0001,0.0001,0.0001,0.0001,107624.0
2017-06-12,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-13,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-14,0.0001,0.0001,0.0001,0.0001,425000.0
2017-06-15,0.0001,0.0001,0.0001,0.0001,200000.0
2017-06-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-19,0.0001,0.0001,0.0001,0.0001,1999999.0
2017-06-20,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-21,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-22,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-23,0.0001,0.0001,0.0001,0.0001,930000.0
2017-06-26,0.0001,0.0001,0.0,0.0,89209.0
2017-06-27,0.0001,0.0001,0.0,0.0,0.0
2017-06-28,0.0001,0.0001,0.0001,0.0001,1000000.0
2017-06-29,0.0001,0.0001,0.0001,0.0001,0.0
2017-06-30,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-04,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-05,0.0001,0.0001,0.0001,0.0001,16334.0
2017-07-06,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-07,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-11,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-12,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-13,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-14,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-17,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-18,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-19,0.0001,0.0001,0.0001,0.0001,300000.0
2017-07-20,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-21,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-24,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-25,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-26,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-27,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-28,0.0001,0.0001,0.0001,0.0001,0.0
2017-07-31,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-01,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-02,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-03,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-04,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-07,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-08,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-09,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-10,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-11,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-14,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-15,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-16,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-17,0.0001,0.0001,0.0001,0.0001,0.0
2017-08-18,0.0001,0.0001,0.0001,0.0001,3015400.0
2017-08-21,0.0001,0.0002,0.0001,0.0002,121058731.0
2017-08-22,0.0002,0.0002,0.0001,0.0002,36569291.0
2017-08-23,0.0002,0.0002,0.0001,0.0002,42910000.0
2017-08-24,0.0001,0.0002,0.0001,0.0002,14760000.0
2017-08-25,0.0002,0.0002,0.0001,0.0002,109580000.0
2017-08-28,0.0001,0.0002,0.0001,0.0001,403347980.0
2017-08-29,0.0001,0.0002,0.0001,0.0001,29560896.0
2017-08-30,0.0001,0.0001,0.0001,0.0001,4770000.0
2017-08-31,0.0001,0.0001,0.0001,0.0001,1120000.0
2017-09-01,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-04,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-05,0.0001,0.0001,0.0001,0.0001,4850000.0
2017-09-06,0.0001,0.0001,0.0001,0.0001,3115500.0
2017-09-07,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-08,0.0001,0.0002,0.0001,0.0002,5185704.0
2017-09-11,0.0001,0.0001,0.0001,0.0001,1620099.0
2017-09-12,0.0001,0.0002,0.0001,0.0001,3010000.0
2017-09-13,0.0001,0.0002,0.0001,0.0001,0.0
2017-09-14,0.0002,0.0002,0.0001,0.0001,19053000.0
2017-09-15,0.0001,0.0002,0.0001,0.0001,15437500.0
2017-09-18,0.0002,0.0002,0.0002,0.0002,700000.0
2017-09-19,0.0001,0.0001,0.0001,0.0001,22867604.0
2017-09-20,0.0001,0.0001,0.0001,0.0001,2010000.0
2017-09-21,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-22,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-25,0.0001,0.0001,0.0001,0.0001,40000.0
2017-09-26,0.0001,0.0001,0.0001,0.0001,0.0
2017-09-27,0.0,0.0001,0.0,0.0001,1009999.0
